Date,Price,Open,High,Low,Vol.,Change %
06/09/2023,79.9,78.78,80.12,78.5,4.14M,1.91%
06/08/2023,78.4,79,80.25,78.4,3.83M,-0.72%
06/07/2023,78.97,78.47,79.5,77.5,2.35M,0.98%
06/06/2023,78.2,78.9,80.4,78.11,8.97M,-0.32%
06/05/2023,78.45,76.4,78.65,75.6,8.46M,3.91%
06/02/2023,75.5,75.36,75.5,74.9,842.76K,0.27%
06/01/2023,75.3,75.01,75.65,74.55,1.40M,0.64%
05/31/2023,74.82,75.9,76.3,74.5,3.59M,-1.23%
05/30/2023,75.75,75,76.66,75,4.51M,1.43%
05/29/2023,74.68,74.4,76.1,74.1,4.02M,0.85%
05/26/2023,74.05,75.6,75.71,73.5,2.70M,-2.12%
05/25/2023,75.65,75.7,76.41,75.11,3.69M,0.80%
05/24/2023,75.05,75.6,76.29,74.9,3.25M,-0.13%
05/23/2023,75.15,75.98,76.25,75,3.33M,-0.79%
05/22/2023,75.75,77,77.45,75.61,4.49M,-1.88%
05/19/2023,77.2,76.8,77.95,76.8,2.33M,0.46%
05/18/2023,76.85,78.6,78.6,76.62,5.00M,-1.47%
05/17/2023,78,80.2,80.25,77.9,2.80M,-2.01%
05/16/2023,79.6,77.3,79.9,77.2,6.27M,3.65%
05/15/2023,76.8,78.2,78.2,76.4,4.93M,-1.84%
05/12/2023,78.24,79.4,79.97,77.92,3.76M,-0.84%
05/11/2023,78.9,79,79.89,78.6,2.20M,0.33%
05/10/2023,78.64,80,80.71,78.5,3.07M,-2.19%
05/09/2023,80.4,82.25,82.25,79.7,6.11M,-2.31%
05/08/2023,82.3,84.79,84.9,81.6,3.97M,-4.49%
05/05/2023,86.17,85.18,86.99,84.95,3.76M,0.80%
05/04/2023,85.49,86.26,86.49,85,2.52M,-0.60%
05/03/2023,86.01,85.15,86.5,84.85,3.25M,1.05%
05/02/2023,85.12,86.11,86.38,85,2.34M,-0.99%
04/28/2023,85.97,87.4,87.48,85.8,2.37M,-1.18%
04/27/2023,87,87.4,87.6,86.52,3.32M,-0.01%
04/26/2023,87.01,87.41,88.14,86.75,2.65M,-0.56%
04/20/2023,87.5,86.7,87.65,86.01,2.88M,1.25%
04/19/2023,86.42,86.09,86.7,85.6,997.75K,0.43%
04/18/2023,86.05,86.3,86.3,85.42,1.62M,0.08%
04/17/2023,85.98,86.49,86.7,85.6,1.49M,-0.14%
04/13/2023,86.1,86.5,87.54,85.21,3.92M,0.82%
04/12/2023,85.4,83.1,85.94,83.05,2.31M,2.28%
04/11/2023,83.5,84.29,84.29,82.8,782.21K,-0.23%
04/10/2023,83.69,84.5,84.88,83.5,1.17M,-1.19%
04/07/2023,84.7,87.71,87.97,84.5,4.69M,-2.87%
